"ppntID","img_id","drawTime","response","responseTime","responseMeans"
"5451330","d_002",1614430298345,"L",1614430301715,"dystopia"
"5451330","d_001",1614430302727,"A",1614430307456,"utopia"
"5451330","u_001",1614430308465,"A",1614430309612,"utopia"
"5451330","u_002",1614430310617,"A",1614430312094,"utopia"
